date,iv_atm
2017-07-04,21.367188
2017-07-05,19.765625
2017-07-06,19.238281
2017-07-07,19.140625
2017-07-10,16.845703
2017-07-11,15.009766
2017-07-12,15.048828
2017-07-13,15.380859
2017-07-14,17.890625
2017-07-17,18.330078
2017-07-18,3.59375
2017-07-19,39.941406
2017-07-20,34.08203
2017-07-21,27.96875
2017-07-24,27.825373
2017-07-25,33.244564
2017-07-27,21.47461
2017-07-28,23.95996
2017-07-31,22.753906
2017-08-01,23.979492
2017-08-02,23.603516
2017-08-03,21.77246
2017-08-04,22.949219
2017-08-07,25.766602
2017-08-08,26.464844
2017-08-09,27.294922
2017-08-10,33.623047
2017-08-11,34.960938
2017-08-14,31.914062
2017-08-16,29.492188
2017-08-17,26.33789
2017-08-18,26.972656
2017-08-21,28.52557
2017-08-22,27.695312
2017-08-23,25.605469
2017-08-24,19.707031
2017-08-28,21.035156
2017-08-29,32.714844
2017-08-30,41.484375
2017-08-31,28.028442
2017-09-01,28.66211
2017-09-04,30.327148
2017-09-05,27.841797
2017-09-06,25.512695
2017-09-07,26.142578
2017-09-08,24.423828
2017-09-11,24.609375
2017-09-12,25.419922
2017-09-13,24.921875
2017-09-14,23.896484
2017-09-15,23.574219
2017-09-18,27.96875
2017-09-19,24.61914
2017-09-20,20.742188
2017-09-21,26.728516
2017-09-22,24.746094
2017-09-25,25.605469
2017-09-26,30.390625
2017-09-27,30.012167
2017-09-28,26.074219
2017-09-29,24.794922
2017-10-03,28.085938
2017-10-04,22.714844
2017-10-05,24.296875
2017-10-06,25.004883
2017-10-09,26.201172
2017-10-10,24.824219
2017-10-11,29.550781
2017-10-12,29.21875
2017-10-13,28.378906
2017-10-16,30.49631
2017-10-17,30.644531
2017-10-18,23.52539
2017-10-23,30.703125
2017-10-24,30.214844
2017-10-25,28.486408
2017-10-26,25.341797
2017-10-27,25.214844
2017-10-30,27.822266
2017-10-31,28.535156
2017-11-01,27.851562
2017-11-02,28.310547
2017-11-03,27.607422
2017-11-06,30.06836
2017-11-07,33.398438
2017-11-08,32.36328
2017-11-09,31.777344
2017-11-10,31.016354
2017-11-13,30.234375
2017-11-14,25.800781
2017-11-15,24.716797
2017-11-16,25.08789
2017-11-17,24.0625
2017-11-20,23.535156
2017-11-21,25.302734
2017-11-22,26.88547
2017-11-23,26.25
2017-11-24,24.921875
2017-11-27,30.644531
2017-11-28,26.582031
2017-11-29,55.078125
2017-11-30,25.527344
2017-12-01,25.36621
2017-12-04,26.611328
2017-12-05,24.902344
2017-12-06,25.185547
2017-12-07,25.351562
2017-12-08,24.013672
2017-12-11,26.611328
2017-12-12,26.015625
2017-12-13,26.464844
2017-12-14,25.24414
2017-12-15,28.017578
2017-12-18,26.396484
2017-12-19,25.969421
2017-12-20,24.814453
2017-12-21,30.263672
2017-12-22,27.304688
2017-12-26,35.078125
2017-12-27,32.851562
2017-12-28,20.927734
2017-12-29,23.007812
2018-01-01,25.458984
2018-01-02,25.058594
2018-01-03,28.730469
2018-01-04,25.722656
2018-01-05,24.75586
2018-01-08,24.433594
2018-01-09,25.302734
2018-01-10,28.134766
2018-01-11,26.65039
2018-01-12,21.640625
2018-01-15,22.167969
2018-01-16,24.833984
2018-01-17,21.767578
2018-01-18,24.648438
2018-01-19,24.21875
2018-01-22,34.023438
2018-01-23,37.910156
2018-01-24,44.0625
2018-01-25,26.556353
2018-01-29,27.675781
2018-01-30,28.857422
2018-01-31,29.082031
2018-02-01,26.987305
2018-02-02,32.109375
2018-02-05,34.248047
2018-02-06,37.20703
2018-02-07,37.8125
2018-02-08,32.91992
2018-02-09,31.992188
2018-02-12,34.853516
2018-02-14,33.095703
2018-02-15,27.226562
2018-02-16,27.949219
2018-02-19,21.367188
2018-02-20,30.3878
2018-02-21,32.773438
2018-02-22,24.169922
2018-02-23,23.417969
2018-02-26,53.48633
2018-02-27,23.964844
2018-02-28,22.72461
