date,open,high,low,close,volume
2015-01-09 09:15:00,20295.1,20413.2,20295.1,20367.15,0
2015-01-09 09:45:00,20372.55,20372.55,20322.65,20350.9,0
2015-01-09 10:15:00,20350.9,20373.6,20324.15,20356.4,0
2015-01-09 10:45:00,20356.4,20376.3,20328.95,20330.7,0
2015-01-09 11:15:00,20330.7,20359.55,20283.2,20292.3,0
2015-01-09 11:45:00,20292.3,20304.2,20152.7,20203.85,0
2015-01-09 12:15:00,20203.85,20281.85,20193.6,20261.25,0
2015-01-09 12:45:00,20247.5,20290.3,20158.1,20159.45,0
2015-01-09 13:15:00,20158.15,20167.85,20116.95,20128.4,0
2015-01-09 13:45:00,20128.4,20139.35,20088.75,20105.55,0
2015-01-09 14:15:00,20105.55,20175.3,20088.3,20162.7,0
2015-01-09 14:45:00,20150.45,20267.2,20132.0,20231.65,0
2015-01-09 15:15:00,20231.65,20399.4,20226.35,20383.75,0
2015-01-12 09:15:00,20332.6,20459.5,20318.2,20447.4,0
2015-01-12 09:45:00,20450.55,20488.7,20377.25,20442.4,0
2015-01-12 10:15:00,20442.4,20542.65,20438.7,20499.0,0
2015-01-12 10:45:00,20499.0,20534.05,20473.3,20475.85,0
2015-01-12 11:15:00,20475.85,20485.6,20450.6,20451.2,0
2015-01-12 11:45:00,20451.2,20474.55,20429.15,20432.15,0
2015-01-12 12:15:00,20434.05,20489.8,20422.7,20485.2,0
2015-01-12 12:45:00,20485.2,20523.75,20477.45,20505.05,0
2015-01-12 13:15:00,20505.6,20512.0,20463.15,20494.0,0
2015-01-12 13:45:00,20494.0,20513.05,20472.4,20484.6,0
2015-01-12 14:15:00,20481.9,20558.75,20479.85,20539.65,0
2015-01-12 14:45:00,20539.65,20543.7,20488.9,20501.35,0
2015-01-12 15:15:00,20501.35,20541.3,20493.75,20526.35,0
2015-01-13 09:15:00,20563.45,20702.75,20561.6,20665.8,0
2015-01-13 09:45:00,20665.8,20670.7,20628.35,20641.15,0
2015-01-13 10:15:00,20641.15,20647.25,20610.45,20623.5,0
2015-01-13 10:45:00,20623.5,20645.05,20605.65,20637.9,0
