date,open,high,low,close,volume
2015-01-09 09:15:00,11058.05,11137.05,11058.05,11089.85,0
2015-01-09 09:45:00,11090.35,11099.15,11075.65,11097.15,0
2015-01-09 10:15:00,11097.15,11141.75,11096.2,11131.45,0
2015-01-09 10:45:00,11131.45,11131.75,11105.6,11111.85,0
2015-01-09 11:15:00,11111.85,11118.65,11077.8,11101.65,0
2015-01-09 11:45:00,11101.65,11112.25,10932.2,11068.6,0
2015-01-09 12:15:00,11068.6,11074.35,10944.85,11032.6,0
2015-01-09 12:45:00,11037.0,11484.9,11032.6,11395.4,0
2015-01-09 13:15:00,11392.1,11400.2,11309.55,11376.55,0
2015-01-09 13:45:00,11376.55,11378.0,11244.05,11297.85,0
2015-01-09 14:15:00,11297.85,11327.6,11275.6,11322.45,0
2015-01-09 14:45:00,11316.8,11417.8,11316.75,11400.55,0
2015-01-09 15:15:00,11400.55,11408.3,11391.65,11400.2,0
2015-01-12 09:15:00,11456.0,11479.55,11400.9,11400.9,0
2015-01-12 09:45:00,11401.15,11431.0,11378.8,11425.45,0
2015-01-12 10:15:00,11425.45,11454.9,11422.8,11440.85,0
2015-01-12 10:45:00,11440.85,11475.7,11439.05,11453.3,0
2015-01-12 11:15:00,11453.3,11464.7,11436.9,11447.3,0
2015-01-12 11:45:00,11447.3,11504.2,11431.3,11445.95,0
2015-01-12 12:15:00,11444.2,11463.65,11433.4,11463.5,0
2015-01-12 12:45:00,11463.5,11465.4,11446.05,11460.55,0
2015-01-12 13:15:00,11460.8,11482.9,11452.7,11482.9,0
2015-01-12 13:45:00,11482.9,11499.35,11477.7,11483.8,0
2015-01-12 14:15:00,11483.6,11519.15,11479.4,11501.15,0
2015-01-12 14:45:00,11501.15,11554.15,11491.35,11543.15,0
2015-01-12 15:15:00,11543.15,11565.85,11540.5,11557.05,0
2015-01-13 09:15:00,11545.25,11545.25,11461.55,11520.1,0
2015-01-13 09:45:00,11520.1,11524.75,11497.7,11507.7,0
2015-01-13 10:15:00,11507.7,11534.0,11491.0,11529.6,0
2015-01-13 10:45:00,11529.6,11533.2,11518.9,11519.35,0
2015-01-13 11:15:00,11520.15,11524.65,11503.25,11511.25,0
