SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
514246,EASTERN SILK INDUSTRIES LTD.,Delisted,B,10.00,INE962C01019,,EASTRNSI,Equity,https://www.bseindia.com/stock-share-price/eastern-silk-industries-ltd/eastrnsi/514246/,Eastern Silk Industries Ltd.,86.30
514248,SREECHEM RESINS LTD.,Active,P,10.00,INE377C01010,Commodity Chemicals,SRECR,Equity,https://www.bseindia.com/stock-share-price/sreechem-resins-ltd/srecr/514248/,Sree chem Resins Ltd,18.40
514250,MAYA SPINNERS LTD.,Delisted,P,10.00,NA,,MAYASPN,Equity,https://www.bseindia.com/stock-share-price/maya-spinners-ltd/mayaspn/514250/,Maya Spinners Ltd,
514252,GIRNAR FIBRES LTD.,Delisted,P,10.00,NA,,GIRNFIB,Equity,https://www.bseindia.com/stock-share-price/girnar-fibres-ltd/girnfib/514252/,Girnar Fibres Ltd,0.71
514254,ENKAY TEXFOODS INDUSTRIES LTD.,Delisted,Z,10.00,INE108D01017,,ENKTEXFOOD,Equity,https://www.bseindia.com/stock-share-price/enkay-texfoods-industries-ltd/enktexfood/514254/,"Enkay Texfoods Industries Ltd.,",
514258,HYTONE TEXSTYLES LTD.,Delisted,XT,10.00,INE926D01012,Other Textile Products,HYTONE,Equity,https://www.bseindia.com/stock-share-price/hytone-texstyles-ltd/hytone/514258/,Hytone Texstyles Ltd,4.45
514260,SURBHI INDUSTRIES LTD.,Active,XT,10.00,INE899E01019,Other Textile Products,SURBHIN,Equity,https://www.bseindia.com/stock-share-price/surbhi-industries-ltd/surbhin/514260/,Surbhi Industries Limited,0.94
514262,ANKIT YARNS LTD.,Delisted,Z,10.00,NA,,ANKITYN,Equity,https://www.bseindia.com/stock-share-price/ankit-yarns-ltd/ankityn/514262/,Ankit Yarns Limited,
514264,SEASONS TEXTILES LTD.-$,Active,X,10.00,INE707B01010,Other Textile Products,SEASONST,Equity,https://www.bseindia.com/stock-share-price/seasons-textiles-ltd/seasonst/514264/,Seasons Textiles Ltd,12.34
514266,ZENITH FIBRES LTD.-$,Active,X,10.00,INE106C01013,Other Textile Products,ZENIFIB,Equity,https://www.bseindia.com/stock-share-price/zenith-fibres-ltd/zenifib/514266/,Zenith Fibres Limited,30.55
514268,SUBHAKTI TEXTILES LTD.,Delisted,P,10.00,NA,,SUBHTXT,Equity,https://www.bseindia.com/stock-share-price/subhakti-textiles-ltd/subhtxt/514268/,Subhakti Textiles Ltd,
514270,AMAR POLYESTERS LTD.,Delisted,Z,10.00,NA,,AMARPLY,Equity,https://www.bseindia.com/stock-share-price/amar-polyesters-ltd/amarply/514270/,Amar Polyesters Ltd,
514272,BHILWARA SPINNERS LTD.,Active,XT,10.00,INE436C01014,Other Textile Products,BHILSPIN,Equity,https://www.bseindia.com/stock-share-price/bhilwara-spinners-ltd/bhilspin/514272/,Bhilwara Spinners Ltd,56.24
514274,AARVEE DENIMS & EXPORTS LTD.,Active,B,10.00,INE273D01019,Other Textile Products,AARVEEDEN,Equity,https://www.bseindia.com/stock-share-price/aarvee-denims--exports-ltd/aarveeden/514274/,"Aarvee Denims & Exports Ltd.,",72.19
514278,GUJARAT NARMADA KNIT WEAR LTD.,Delisted,Z,10.00,NA,,GJKNIT,Equity,https://www.bseindia.com/stock-share-price/gujarat-narmada-knit-wear-ltd/gjknit/514278/,Gujarat Narmada Knit Wear Ltd,
514280,SANRHEA TECHNICAL TEXTILES LTD.,Active,XT,10.00,INE589J01015,Other Textile Products,SANTETX,Equity,https://www.bseindia.com/stock-share-price/sanrhea-technical-textiles-ltd/santetx/514280/,Sanrhea Technical Textiles Ltd.,52.00
