date,name
2014-04-18,Good Friday
2014-04-14,Dr. Baba Saheb Ambedkar Jayanti
2014-04-13,Mahavir Jayanti
2014-04-08,Ram Navami
2014-03-17,Holi
2014-02-27,Mahashivratri
2014-01-26,Republic Day
2013-12-25,Christmas
2013-11-17,Gurunank Jayanti
2013-11-14,Moharram
2013-11-04,Diwali-Balipratipada
2013-11-03,Diwali-Laxmi Puja*
2013-10-16,Bakri ID
2013-10-13,Dasera
2013-10-02,Gandhi Jayanti
2013-09-09,Ganesh Chaturthi
2013-08-15,Independence Day
2013-08-09,Ramzan ID
2013-05-01,May Day
2013-04-24,Mahavir Jayanti
2013-04-19,Ram Navmi
2013-04-14,Dr. Ambedkar Jayanti
2013-03-29,Good Friday
2013-03-27,Holi
2013-03-10,Mahashivratri
2013-01-26,Republic Day
2012-12-25,Christmas
2012-11-28,Gurunanak Jayanti
2012-11-25,Moharram
2012-11-14,Diwali - Balipratipada
2012-11-13,Diwali – Laxmi Puja*
2012-10-27,Bakri Id
2012-10-24,Dasera
2012-10-02,Gandhi Jayanti
2012-09-19,Ganesh Chaturthi
2012-08-20,Ramzan ID
2012-08-15,Independence Day
2012-05-01,May Day
2012-04-14,Ambedkar Jayanti
2012-04-06,Good Friday
2012-04-05,Mahavir Jayanti
2012-04-01,Ram Navami
2012-03-08,Holi
2012-02-20,Mahashivratri
2012-01-26,Republic Day
2012-01-01,New Year
2011-12-25,Christmas
2011-12-06,Moharum
2011-11-10,Gurunanak Jayanti
2011-11-07,Bakri Id
2011-10-27,Diwali - Balipratipada
2011-10-26,Laxmi Puja*
2011-10-06,Dasara
2011-10-02,Gandhi Jayanti
2011-09-01,Ganesh Chaturthi
2011-08-31,Ramzan ID
2011-08-15,Independence Day
2011-05-01,May Day
2011-04-22,Good Friday
2011-04-16,Mahavir Jayanti
2011-04-14,Dr. Ambedkar Jayanti
2011-04-12,Ram Navmi
2011-03-20,Holi
2011-03-02,Mahashivratri
2011-01-26,Republic Day
2011-01-01,New Year
2010-12-25,Christmas
2010-12-17,Moharum
2010-11-21,Gurunanak Jayanti
2010-11-17,Bakri Id
2010-11-07,Bhau Bhij
2010-11-05,Laxmi Puja*
2010-10-17,Dasara
2010-10-02,Gandhi Jayanti
2010-09-11,Ganesh Chaturthi
2010-09-10,Ramzan ID
2010-08-15,Independence Day
2010-05-01,May Day
2010-04-14,Dr. Ambedkar Jayanti
2010-04-02,Good Friday
2010-03-28,Mahavir Jayanti
2010-03-24,Ram Navmi
2010-03-01,Holi
2010-02-12,Mahashivratri
2010-01-26,Republic Day
2010-01-01,New Year
2009-12-28,Moharram (falls twice in 2009)
2009-12-25,Christmas
2009-11-28,Bakri ID
2009-11-02,Gurunanak Jayanti
2009-10-19,Bhau Bhij
2009-10-17,Laxmi Puja*
2009-10-02,Gandhi Jayanti
2009-09-28,Dasara
2009-09-21,Ramzan ID
2009-08-23,Ganesh Chaturthi
2009-08-15,Independence Day
2009-05-09,Buddha Pournima
2009-05-01,Maharashtra  Day
2009-04-14,Dr. Ambedkar Jayanti
2009-04-10,Good Friday
2009-04-07,Mahavir Jayanti
2009-04-03,Ram Navmi
2009-03-11,Holi
2009-03-10,Id-E-Milad
2009-02-23,Mahashivratri
2009-01-26,Republic Day
2009-01-08,Moharram
2008-12-25,Christmas
2008-12-09,Bakri ID
2008-11-13,Gurunanak Jayanti
2008-10-30,Bhau Bhij
2008-10-28,Laxmi Puja
2008-10-09,Dasara
2008-10-02,Gandhi  Jayanti / Ramzan ID
2008-09-03,Ganesh Chaturthi
2008-08-15,Independence  Day
2008-05-19,Buddha  Pournima
2008-05-01,Maharashtra Day
2008-04-18,Mahavir Jayanti
2008-04-14,Dr.  Babasaheb Ambedkar Jayanti
2008-04-13,Ram Navmi
2008-03-22,Holi
2008-03-21,Good  Friday
2008-03-20,Id-E-Milad
2008-03-06,Mahashivratri
2008-01-26,Republic Day
2008-01-19,Moharram
2007-12-25,Christmas
2007-12-21,Bakri ID (falls twice in 2007)
2007-11-24,Guru Nanak Jayanti
2007-11-11,Bhaubeej
2007-11-09,Laxmi Puja*
2007-10-21,Dasara
2007-10-14,Ramzan Id
2007-10-02,Gandhi Jayanti
2007-09-15,Ganesh Chaturthi
2007-08-15,Independence Day
2007-05-02,Buddha Pournima
2007-05-01,Maharashtra  Day
2007-04-14,Ambedkar Jayanti
2007-04-06,Good Friday
2007-04-01,Id-E-Milad
2007-03-31,Mahavir Jayanti
2007-03-27,Ram Navami
2007-03-04,Holi
2007-02-16,Mahashivratri
2007-01-30,Moharram
2007-01-26,Republic Day
2007-01-01,Bakri ID
2006-12-25,Christmas
2006-11-05,Guru Nanak Jayanti
2006-10-25,Ramzan Id
2006-10-24,Bhaubeej
2006-10-21,Laxmi Puja*
2006-10-02,Gandhi Jayanti/ Dasara
2006-08-27,Ganesh Chaturthi
2006-08-15,Independence Day
2006-05-13,Buddha Pournima
2006-05-01,Maharashtra  Day
2006-04-14,Ambedkar Jayanti/  Good Friday
2006-04-11,Mahavir Jayanti/ Id-E-Milad
2006-04-06,Ram Navami
2006-03-15,Holi
2006-02-09,Moharram
2006-01-26,Republic Day
2006-01-11,Bakri Id
2005-12-25,Christmas
2005-11-15,Guru Nanak Jayanti
2005-11-05,Ramzan Id
2005-11-03,Bhaubeej
2005-11-01,Laxmi Puja*
2005-10-12,Dasara
2005-10-02,Gandhi Jayanti
2005-09-07,Ganesh Chaturthi
2005-08-15,Independence Day
2005-05-01,Maharashtra Day
2005-04-14,Ambedkar Jayanti
2005-03-26,Holi
2005-03-25,Good Friday
2005-02-20,Moharram
2005-01-26,Republic Day
2005-01-21,Bakri Id
2004-12-25,Christmas
2004-11-26,Guru Nanak Jayanti
2004-11-15,Ramzan Id
2004-11-14,Bhaubeej
2004-11-12,Laxmi Puja*
2004-10-22,Dasara
2004-10-02,Gandhi Jayanti
2004-09-18,Ganesh Chaturthi
2004-08-15,Independence Day
2004-05-01,Maharashtra Day
2004-04-14,Ambedkar Jayanti
2004-04-09,Good Friday
2004-03-07,Holi
2004-03-02,Moharram
2004-02-02,Bakri Id
2004-01-26,Republic Day
2003-12-25,Christmas
2003-11-26,Ramzan Id
2003-11-08,Guru Nanak Jayanti
2003-10-26,Bhaubeej
2003-10-25,Laxmi Puja*
2003-10-04,Dasara
2003-10-02,Gandhi Jayanti
2003-08-31,Ganesh Chaturthi
2003-08-15,Independence Day
2003-05-01,Maharashtra Day
2003-04-18,Good Friday
2003-04-14,Ambedkar Jayanti
2003-03-18,Holi
2003-03-15,Moharram
2003-02-13,Bakri Id
2003-01-26,Republic Day
