code,name,symbol,lot_size,underlying_type
500520,Mahindra & Mahindra Ltd.,MNML,350,EQ
500570,Tata Motors Ltd.,TAMO,1425,EQ
500470,TATA IORN AN,TISC,5500,EQ
500410,ACC,ACCL,300,EQ
500400,Tata Power Co. Ltd,TATP,3375,EQ
500440,Hindalco Industries Ltd.,HNDL,1400,EQ
500114,Titan Company Limited,TITA,175,EQ
500770,TATA CHEMICA,TCHM,550,EQ
526371,NMDC Ltd,NMDC,4500,EQ
500825,"Britannia Industries Ltd.,",BRIT,200,EQ
500104,HINDUSTAN PE,HPCL,2700,EQ
500312,Oil And Natural Gas Corporation Ltd,ONGC,3850,EQ
540719,SBI Life Insurance Company Limited,SBLF,750,EQ
540716,ICICI Lombard General Insurance Company Ltd,ILGI,500,EQ
524208,AARTI INDUSTRIES LTD.,ARIN,1000,EQ
541729,HDFC Asset Management Company Ltd,HAMC,300,EQ
539524,Dr. Lal PathLabs Ltd,LAPL,300,EQ
539523,ALKEM LABORATORIES LTD,ALKM,200,EQ
540611,AU SMALL FINANCE BANK LTD,AUSF,1000,EQ
532210,CITY UNION BANK LTD,CUBL,5000,EQ
506401,DEEPAK NITRITE LTD,DENP,300,EQ
532482,GRANULES INDIA LTD,GRAN,2000,EQ
539336,GUJARAT GAS LTD,GUGL,1250,EQ
542830,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LTD,IRCT,875,EQ
540005,LARSEN & TOUBRO INFOTECH LTD,LTIL,150,EQ
540115,L&T TECHNOLOGY SERVICES LTD,LTTS,200,EQ
526299,MPHASIS LTD,MPHS,275,EQ
532504,NAVIN FLUORINE INTERNATIONAL LTD,NFIL,150,EQ
523642,PI INDUSTRIES LTD,PIND,250,EQ
500251,TRENT LTD,TRNT,400,EQ
535755,Aditya Birla Fashion and Retail Ltd,ABFR,2600,EQ
506395,COROMANDEL INTERNATIONAL LTD,CORO,700,EQ
500850,INDIAN HOTELS CO.LTD,INDH,2000,EQ
542650,Metropolis Healthcare Ltd,METR,400,EQ
532830,Astral Ltd,ASTR,367,EQ
511196,CAN FIN HOMES LTD,CFHL,975,EQ
540699,DIXON TECHNOLOGIES (INDIA) LTD,DIXO,100,EQ
541154,HINDUSTAN AERONAUTICS LTD,HIAL,300,EQ
540750,INDIAN ENERGY EXCHANGE LTD,IEEX,3750,EQ
542726,INDIAMART INTERMESH LTD,IMIL,300,EQ
524494,IPCA LABORATORIES LTD,IPCA,650,EQ
534091,MULTI COMMODITY EXCHANGE OF INDIA LTD,MCXL,400,EQ
